Time,Track ID,Type,x [m],y [m],Speed [km/h],Tan. Acc. [ms-2],Lat. Acc. [ms-2]
1.601602,6,1,746820.96,3150571.7,20.3984,0.3074,1.0963
1.601602,15,1,746830.9,3150566.33,23.7746,0.3648,1.3998
1.601602,22,1,746773.76,3150523.01,15.7415,-0.403,-0.1394
1.601602,36,4,746750.59,3150577.24,36.4003,0.5191,-1.0193
1.601602,17,1,746838.52,3150528.75,23.6307,0.2034,1.445
1.601602,14,1,746813.22,3150576.2,21.2826,-0.217,0.5668
1.601602,31,3,746864.92,3150511.37,32.366,0.1813,-0.9124
1.601602,35,1,746764.21,3150552.85,30.2953,0.937,-1.2475
1.601602,24,3,746871.79,3150505.67,30.2206,-0.6053,-0.3549
1.601602,18,1,746778.71,3150583.5,19.2403,1.2586,-0.3492
1.601602,38,3,746860.27,3150515.86,26.5181,0.7719,-0.7235
1.601602,20,8,746847.65,3150497.73,9.4317,0.3994,-0.0092
1.601602,9,1,746800.9,3150575.64,16.9057,-0.5153,-0.1959
1.601602,29,3,746792.78,3150509.41,20.9597,-0.0129,1.0194
1.601602,10,1,746808.44,3150573.59,15.5723,-0.4922,0.5802
1.601602,30,3,746775.8,3150551.46,19.1812,0.1638,0.5528
1.601602,7,1,746769.56,3150530.98,19.1673,0.5481,-0.6437
1.601602,42,3,746810.61,3150497.85,0.0152,0.0118,0.092
1.601602,23,3,746765.3,3150538.98,0.0142,-0.0368,0.0138
